###################### UltraGCN Plus Plus ######################
./configs/ultragcn_gowalla_m1.ini
torch.cuda.is_available() True
cuda
load path = ./gowalla_ii_constraint_mat object
load path = ./gowalla_ii_neighbor_mat object
load path = ./gowalla_rec_i_64 object
load path = ./gowalla_rec_u_64 object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_gowalla.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.0001, 'dataset': 'gowalla', 'gpu': '0', 'device': device(type='cuda'), 'lr': 0.0001, 'batch_size': 512, 'early_stop_epoch': 100, 'w1': 1e-06, 'w2': 1.0, 'w3': 1e-06, 'w4': 1.0, 'negative_num': 1500, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.0005, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 29858, 'item_num': 40981}
start load weight
torch.Size([29858, 64])
torch.Size([40981, 64])
cuda
Total training batches = 1583
The time for epoch 0 is: train time = 00: 01: 02, test time = 00: 00: 07
Loss = 93.29861, F1-score: 0.031072 	 Precision: 0.02097	 Recall: 0.05998	NDCG: 0.05293
The time for epoch 5 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 76.68627, F1-score: 0.042874 	 Precision: 0.02847	 Recall: 0.08681	NDCG: 0.07587
The time for epoch 10 is: train time = 00: 01: 02, test time = 00: 00: 07
Loss = 76.99102, F1-score: 0.025952 	 Precision: 0.01782	 Recall: 0.04773	NDCG: 0.04171
The time for epoch 15 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 60.06531, F1-score: 0.023865 	 Precision: 0.01649	 Recall: 0.04317	NDCG: 0.03587
The time for epoch 20 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 42.06942, F1-score: 0.025340 	 Precision: 0.01752	 Recall: 0.04576	NDCG: 0.03923
The time for epoch 25 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 35.46944, F1-score: 0.028090 	 Precision: 0.01944	 Recall: 0.05063	NDCG: 0.04117
The time for epoch 30 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 34.01204, F1-score: 0.037432 	 Precision: 0.02527	 Recall: 0.07219	NDCG: 0.05377
The time for epoch 35 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 35.36207, F1-score: 0.042267 	 Precision: 0.02809	 Recall: 0.08533	NDCG: 0.06429
The time for epoch 40 is: train time = 00: 01: 02, test time = 00: 00: 07
Loss = 37.67857, F1-score: 0.042981 	 Precision: 0.02844	 Recall: 0.08795	NDCG: 0.07149
The time for epoch 45 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 39.45562, F1-score: 0.043573 	 Precision: 0.02883	 Recall: 0.08914	NDCG: 0.07284
The time for epoch 50 is: train time = 00: 01: 01, test time = 00: 00: 07
Loss = 39.76880, F1-score: 0.044520 	 Precision: 0.02952	 Recall: 0.09051	NDCG: 0.07482
The time for epoch 51 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 41.58308, F1-score: 0.044907 	 Precision: 0.02978	 Recall: 0.09124	NDCG: 0.07565
The time for epoch 52 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 41.28350, F1-score: 0.045006 	 Precision: 0.02982	 Recall: 0.09172	NDCG: 0.07650
The time for epoch 53 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 43.05070, F1-score: 0.044860 	 Precision: 0.02972	 Recall: 0.09140	NDCG: 0.07447
The time for epoch 54 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 43.07629, F1-score: 0.045359 	 Precision: 0.03001	 Recall: 0.09285	NDCG: 0.07647
The time for epoch 55 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 42.55457, F1-score: 0.045452 	 Precision: 0.03009	 Recall: 0.09282	NDCG: 0.07587
The time for epoch 56 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 42.23952, F1-score: 0.045624 	 Precision: 0.03026	 Recall: 0.09267	NDCG: 0.07764
The time for epoch 57 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 42.81102, F1-score: 0.046274 	 Precision: 0.03068	 Recall: 0.09414	NDCG: 0.07754
The time for epoch 58 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 42.22770, F1-score: 0.046483 	 Precision: 0.03082	 Recall: 0.09448	NDCG: 0.07813
The time for epoch 59 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 43.18723, F1-score: 0.046584 	 Precision: 0.03089	 Recall: 0.09467	NDCG: 0.07822
The time for epoch 60 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 43.51399, F1-score: 0.046968 	 Precision: 0.03118	 Recall: 0.09518	NDCG: 0.07820
