###################### UltraGCN Plus Plus ######################
./configs/ultragcn_gowalla_m1_N_2500.ini
torch.cuda.is_available() True
cuda
Computing \Omega for the item-item graph... 
i-i constraint matrix 0 ok
i-i constraint matrix 15000 ok
i-i constraint matrix 30000 ok
Computation \Omega OK!
store object in path = ./gowalla_ii_neighbor_mat ok
store object in path = ./gowalla_ii_constraint_mat ok
store object in path = ./gowalla_rec_i_64 ok
store object in path = ./gowalla_rec_u_64 ok
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_gowalla.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.0001, 'dataset': 'gowalla', 'gpu': '0', 'device': device(type='cuda'), 'lr': 0.0001, 'batch_size': 512, 'early_stop_epoch': 100, 'w1': 1e-06, 'w2': 1.0, 'w3': 1e-06, 'w4': 1.0, 'negative_num': 150, 'negative_weight': 50.0, 'gamma': 0.0001, 'lambda': 0.0005, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 29858, 'item_num': 40981}
start load weight
torch.Size([29858, 64])
torch.Size([40981, 64])
cuda
Total training batches = 1583
The time for epoch 0 is: train time = 00: 00: 50, test time = 00: 00: 09
Loss = 90.31403, F1-score: 0.028629 	 Precision: 0.01938	 Recall: 0.05474	NDCG: 0.04857
The time for epoch 5 is: train time = 00: 00: 59, test time = 00: 00: 09
Loss = 21.69636, F1-score: 0.042947 	 Precision: 0.02853	 Recall: 0.08683	NDCG: 0.07665
The time for epoch 10 is: train time = 00: 01: 01, test time = 00: 00: 09
Loss = 25.66808, F1-score: 0.049041 	 Precision: 0.03243	 Recall: 0.10056	NDCG: 0.08742
The time for epoch 15 is: train time = 00: 01: 09, test time = 00: 00: 09
Loss = 31.53900, F1-score: 0.041717 	 Precision: 0.02788	 Recall: 0.08281	NDCG: 0.07195
The time for epoch 20 is: train time = 00: 01: 14, test time = 00: 00: 09
Loss = 33.53307, F1-score: 0.038103 	 Precision: 0.02562	 Recall: 0.07430	NDCG: 0.06252
The time for epoch 25 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 27.95130, F1-score: 0.038983 	 Precision: 0.02619	 Recall: 0.07620	NDCG: 0.06249
The time for epoch 30 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 27.00085, F1-score: 0.042438 	 Precision: 0.02846	 Recall: 0.08343	NDCG: 0.06719
The time for epoch 35 is: train time = 00: 01: 15, test time = 00: 00: 09
Loss = 24.41384, F1-score: 0.046043 	 Precision: 0.03073	 Recall: 0.09176	NDCG: 0.07641
The time for epoch 40 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 27.23116, F1-score: 0.048409 	 Precision: 0.03194	 Recall: 0.09991	NDCG: 0.08317
The time for epoch 45 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 29.16837, F1-score: 0.047460 	 Precision: 0.03119	 Recall: 0.09923	NDCG: 0.08327
The time for epoch 50 is: train time = 00: 01: 15, test time = 00: 00: 08
Loss = 29.93503, F1-score: 0.047956 	 Precision: 0.03148	 Recall: 0.10065	NDCG: 0.08488
The time for epoch 51 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 30.19711, F1-score: 0.047682 	 Precision: 0.03131	 Recall: 0.09995	NDCG: 0.08366
The time for epoch 52 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 30.71540, F1-score: 0.048013 	 Precision: 0.03150	 Recall: 0.10092	NDCG: 0.08374
The time for epoch 53 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 30.50915, F1-score: 0.048156 	 Precision: 0.03162	 Recall: 0.10094	NDCG: 0.08414
The time for epoch 54 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 31.48240, F1-score: 0.048295 	 Precision: 0.03174	 Recall: 0.10099	NDCG: 0.08429
The time for epoch 55 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 30.57380, F1-score: 0.048846 	 Precision: 0.03210	 Recall: 0.10209	NDCG: 0.08457
The time for epoch 56 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 30.02740, F1-score: 0.048399 	 Precision: 0.03180	 Recall: 0.10126	NDCG: 0.08389
The time for epoch 57 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 31.50289, F1-score: 0.048703 	 Precision: 0.03202	 Recall: 0.10163	NDCG: 0.08495
The time for epoch 58 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 31.80812, F1-score: 0.048632 	 Precision: 0.03194	 Recall: 0.10189	NDCG: 0.08563
The time for epoch 59 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 32.86206, F1-score: 0.048939 	 Precision: 0.03211	 Recall: 0.10280	NDCG: 0.08654
The time for epoch 60 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 33.06322, F1-score: 0.049296 	 Precision: 0.03239	 Recall: 0.10310	NDCG: 0.08700
The time for epoch 61 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 33.53053, F1-score: 0.049623 	 Precision: 0.03263	 Recall: 0.10354	NDCG: 0.08669
The time for epoch 62 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 32.26796, F1-score: 0.049820 	 Precision: 0.03280	 Recall: 0.10359	NDCG: 0.08700
The time for epoch 63 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 32.08569, F1-score: 0.050425 	 Precision: 0.03321	 Recall: 0.10466	NDCG: 0.08773
The time for epoch 64 is: train time = 00: 01: 15, test time = 00: 00: 09
Loss = 32.66044, F1-score: 0.051041 	 Precision: 0.03364	 Recall: 0.10569	NDCG: 0.08841
The time for epoch 65 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 33.17112, F1-score: 0.051477 	 Precision: 0.03395	 Recall: 0.10639	NDCG: 0.08979
The time for epoch 66 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 32.12280, F1-score: 0.051628 	 Precision: 0.03409	 Recall: 0.10636	NDCG: 0.09012
The time for epoch 67 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 34.56344, F1-score: 0.052180 	 Precision: 0.03443	 Recall: 0.10770	NDCG: 0.09107
The time for epoch 68 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 35.60035, F1-score: 0.052420 	 Precision: 0.03460	 Recall: 0.10814	NDCG: 0.09157
The time for epoch 69 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 34.61637, F1-score: 0.053279 	 Precision: 0.03517	 Recall: 0.10986	NDCG: 0.09323
The time for epoch 70 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 35.62503, F1-score: 0.053410 	 Precision: 0.03527	 Recall: 0.11000	NDCG: 0.09365
The time for epoch 71 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 35.05829, F1-score: 0.053873 	 Precision: 0.03555	 Recall: 0.11116	NDCG: 0.09487
The time for epoch 72 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 34.33877, F1-score: 0.054302 	 Precision: 0.03586	 Recall: 0.11175	NDCG: 0.09531
The time for epoch 73 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 35.89516, F1-score: 0.054859 	 Precision: 0.03623	 Recall: 0.11291	NDCG: 0.09664
The time for epoch 74 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 35.03430, F1-score: 0.055627 	 Precision: 0.03674	 Recall: 0.11447	NDCG: 0.09801
The time for epoch 75 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 36.06912, F1-score: 0.056290 	 Precision: 0.03717	 Recall: 0.11593	NDCG: 0.09913
The time for epoch 76 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 37.82800, F1-score: 0.056666 	 Precision: 0.03742	 Recall: 0.11667	NDCG: 0.10014
The time for epoch 77 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 37.72253, F1-score: 0.056985 	 Precision: 0.03766	 Recall: 0.11708	NDCG: 0.10080
The time for epoch 78 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 37.84317, F1-score: 0.057691 	 Precision: 0.03814	 Recall: 0.11840	NDCG: 0.10172
The time for epoch 79 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 36.30274, F1-score: 0.058107 	 Precision: 0.03842	 Recall: 0.11920	NDCG: 0.10275
The time for epoch 80 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 35.97951, F1-score: 0.058689 	 Precision: 0.03879	 Recall: 0.12047	NDCG: 0.10361
The time for epoch 81 is: train time = 00: 01: 16, test time = 00: 00: 09
Loss = 37.89843, F1-score: 0.059174 	 Precision: 0.03913	 Recall: 0.12128	NDCG: 0.10460
The time for epoch 82 is: train time = 00: 01: 17, test time = 00: 00: 09
Loss = 37.02359, F1-score: 0.059427 	 Precision: 0.03930	 Recall: 0.12180	NDCG: 0.10515
The time for epoch 83 is: train time = 00: 01: 15, test time = 00: 00: 08
Loss = 39.22125, F1-score: 0.059798 	 Precision: 0.03954	 Recall: 0.12262	NDCG: 0.10625
The time for epoch 84 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 38.62498, F1-score: 0.060069 	 Precision: 0.03971	 Recall: 0.12326	NDCG: 0.10736
The time for epoch 85 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 38.33913, F1-score: 0.060492 	 Precision: 0.03999	 Recall: 0.12411	NDCG: 0.10802
The time for epoch 86 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 39.52562, F1-score: 0.060664 	 Precision: 0.04011	 Recall: 0.12439	NDCG: 0.10827
The time for epoch 87 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 40.22465, F1-score: 0.060868 	 Precision: 0.04025	 Recall: 0.12475	NDCG: 0.10883
The time for epoch 88 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 39.71058, F1-score: 0.061115 	 Precision: 0.04043	 Recall: 0.12516	NDCG: 0.10921
The time for epoch 89 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 39.70766, F1-score: 0.061529 	 Precision: 0.04071	 Recall: 0.12592	NDCG: 0.11019
The time for epoch 90 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 40.55434, F1-score: 0.061919 	 Precision: 0.04095	 Recall: 0.12693	NDCG: 0.11083
The time for epoch 91 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 39.88366, F1-score: 0.062124 	 Precision: 0.04110	 Recall: 0.12722	NDCG: 0.11154
The time for epoch 92 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 40.39149, F1-score: 0.062587 	 Precision: 0.04136	 Recall: 0.12854	NDCG: 0.11239
The time for epoch 93 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 41.37428, F1-score: 0.062799 	 Precision: 0.04152	 Recall: 0.12880	NDCG: 0.11276
The time for epoch 94 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 40.83711, F1-score: 0.063118 	 Precision: 0.04171	 Recall: 0.12963	NDCG: 0.11360
The time for epoch 95 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 40.80009, F1-score: 0.063244 	 Precision: 0.04179	 Recall: 0.12992	NDCG: 0.11407
The time for epoch 96 is: train time = 00: 01: 17, test time = 00: 00: 08
